Start Time: 16:09:36
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=60, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.162, 0.000, 0.026
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.153, 0.001, 0.019
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.176, 0.000, 0.030
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.165, 0.000, 0.022
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.152, 0.001, 0.018
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.143, 0.002, 0.018
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.172, 0.000, 0.024
ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.165, 0.000, 0.025
linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.169, 0.000, 0.019
ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.155, 0.001, 0.023
linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.188, 0.000, 0.024
ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.176, 0.000, 0.029
linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.200, 0.000, 0.029
ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.182, 0.000, 0.031
linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.198, 0.000, 0.024
ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.179, 0.000, 0.031
linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.176, 0.000, 0.030
ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.182, 0.000, 0.029
linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.176, 0.000, 0.029
ridge            , LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.186, 0.000, 0.031
linear_regression, LeaveOneClipOutForEachSubject, pca4, arousal    , True, True, 0.166, 0.000, 0.024
ridge            , LeaveOneClipOutForEachSubject, pca4, arousal    , True, True, 0.182, 0.000, 0.031
linear_regression, LeaveOneClipOutForEachSubject, pca5, arousal    , True, True, 0.168, 0.000, 0.022
ridge            , LeaveOneClipOutForEachSubject, pca5, arousal    , True, True, 0.180, 0.000, 0.031
linear_regression, LeaveOneClipOutForEachSubject, pca6, arousal    , True, True, 0.165, 0.000, 0.020
ridge            , LeaveOneClipOutForEachSubject, pca6, arousal    , True, True, 0.172, 0.000, 0.028
linear_regression, LeaveOneClipOutForEachSubject, pca7, arousal    , True, True, 0.153, 0.001, 0.013
ridge            , LeaveOneClipOutForEachSubject, pca7, arousal    , True, True, 0.160, 0.001, 0.025
linear_regression, LeaveOneClipOutForEachSubject, pca8, arousal    , True, True, 0.138, 0.003, 0.004
ridge            , LeaveOneClipOutForEachSubject, pca8, arousal    , True, True, 0.148, 0.001, 0.022
